ans_id,ans_str,query_str,query_id
197,"?Nationality Waiver. 8. All hiring Institutions (Host or Partner) and the hiring supervisor PI/Co-Is/PM shall employ or otherwise engage Research Assistants/ Research Technicians or staff of equivalent qualifications who are Singapore citizens and/or Singapore Permanent Residents to be deployed in the work under the Research. a. For the purposes of this Clause 8, the term ”Research Assistants” or “Research Technicians” or staff of equivalent qualifications shall mean research technicians, or staff of equivalent qualifications who participate in the Research by performing mainly technical tasks as well as providing support functions distinct from the work carried out by the Investigators. . b. Whilst Research Assistants/Research Technicians may provide intellectual input to the Research, they are not required to be directly involved in the management of the Research or for providing leadership in the conception and creation of new knowledge, products, processes, methods and systems under the Research. . c. At the point of entry, Research Assistants/Research Technicians will typically not be required to possess PhD qualifications. For clarification, “Research Assistants” will not include nurses and other hospital workers whom may assist in the Research. 9. In the event the hiring supervisor PI/Co-Is/PM is unable to comply with Clause 8 above, the PI must seek prior approval from the Grantor with proper justification and Research Assistants/Research Technicians or staff of equivalent qualifications of other nationality can be employed only if the request is supported. 10. For Research Fellows, the Institutions shall use reasonable efforts to employ or otherwise engage Singapore citizens or Singapore permanent residents unless the required expertise is not available or the skill of any foreign person is necessary for the performance of the Research.","We would like to request for a nationality waiver for the position of Ã?â??Project OfficerÃ?â?? for Project SLE-RP1. Supporting documents attached for your perusal.

For NRFÃ?â??s approval, please.
",198
197,"?Nationality Waiver. 8. All hiring Institutions (Host or Partner) and the hiring supervisor PI/Co-Is/PM shall employ or otherwise engage Research Assistants/ Research Technicians or staff of equivalent qualifications who are Singapore citizens and/or Singapore Permanent Residents to be deployed in the work under the Research. a. For the purposes of this Clause 8, the term ”Research Assistants” or “Research Technicians” or staff of equivalent qualifications shall mean research technicians, or staff of equivalent qualifications who participate in the Research by performing mainly technical tasks as well as providing support functions distinct from the work carried out by the Investigators. . b. Whilst Research Assistants/Research Technicians may provide intellectual input to the Research, they are not required to be directly involved in the management of the Research or for providing leadership in the conception and creation of new knowledge, products, processes, methods and systems under the Research. . c. At the point of entry, Research Assistants/Research Technicians will typically not be required to possess PhD qualifications. For clarification, “Research Assistants” will not include nurses and other hospital workers whom may assist in the Research. 9. In the event the hiring supervisor PI/Co-Is/PM is unable to comply with Clause 8 above, the PI must seek prior approval from the Grantor with proper justification and Research Assistants/Research Technicians or staff of equivalent qualifications of other nationality can be employed only if the request is supported. 10. For Research Fellows, the Institutions shall use reasonable efforts to employ or otherwise engage Singapore citizens or Singapore permanent residents unless the required expertise is not available or the skill of any foreign person is necessary for the performance of the Research.","We would like to hire Mr Mao Fubing as a Research Associate and will convert him to a Research Fellow once he is being conferred PhD. 
 
The candidate has submitted his thesis for examination and is expected to receive his PhD in a few monthsÃ?â?? time.
 
The Nationality Waiver Form and FubingÃ?â??s CV are attached, please. 
 
We look forward to your favorable response.
",199
197,"?Nationality Waiver. 8. All hiring Institutions (Host or Partner) and the hiring supervisor PI/Co-Is/PM shall employ or otherwise engage Research Assistants/ Research Technicians or staff of equivalent qualifications who are Singapore citizens and/or Singapore Permanent Residents to be deployed in the work under the Research. a. For the purposes of this Clause 8, the term ”Research Assistants” or “Research Technicians” or staff of equivalent qualifications shall mean research technicians, or staff of equivalent qualifications who participate in the Research by performing mainly technical tasks as well as providing support functions distinct from the work carried out by the Investigators. . b. Whilst Research Assistants/Research Technicians may provide intellectual input to the Research, they are not required to be directly involved in the management of the Research or for providing leadership in the conception and creation of new knowledge, products, processes, methods and systems under the Research. . c. At the point of entry, Research Assistants/Research Technicians will typically not be required to possess PhD qualifications. For clarification, “Research Assistants” will not include nurses and other hospital workers whom may assist in the Research. 9. In the event the hiring supervisor PI/Co-Is/PM is unable to comply with Clause 8 above, the PI must seek prior approval from the Grantor with proper justification and Research Assistants/Research Technicians or staff of equivalent qualifications of other nationality can be employed only if the request is supported. 10. For Research Fellows, the Institutions shall use reasonable efforts to employ or otherwise engage Singapore citizens or Singapore permanent residents unless the required expertise is not available or the skill of any foreign person is necessary for the performance of the Research.","For getting approval from NRF to hire non Singaporeans / PR , what are the steps to follow ?

Previously I emailed to NRF and the request was rejected by NRF . Is there a change in process now ? 
Do I have to email first ? 
What are the forms for us to fill up ?
",200
197,"?Nationality Waiver. 8. All hiring Institutions (Host or Partner) and the hiring supervisor PI/Co-Is/PM shall employ or otherwise engage Research Assistants/ Research Technicians or staff of equivalent qualifications who are Singapore citizens and/or Singapore Permanent Residents to be deployed in the work under the Research. a. For the purposes of this Clause 8, the term ”Research Assistants” or “Research Technicians” or staff of equivalent qualifications shall mean research technicians, or staff of equivalent qualifications who participate in the Research by performing mainly technical tasks as well as providing support functions distinct from the work carried out by the Investigators. . b. Whilst Research Assistants/Research Technicians may provide intellectual input to the Research, they are not required to be directly involved in the management of the Research or for providing leadership in the conception and creation of new knowledge, products, processes, methods and systems under the Research. . c. At the point of entry, Research Assistants/Research Technicians will typically not be required to possess PhD qualifications. For clarification, “Research Assistants” will not include nurses and other hospital workers whom may assist in the Research. 9. In the event the hiring supervisor PI/Co-Is/PM is unable to comply with Clause 8 above, the PI must seek prior approval from the Grantor with proper justification and Research Assistants/Research Technicians or staff of equivalent qualifications of other nationality can be employed only if the request is supported. 10. For Research Fellows, the Institutions shall use reasonable efforts to employ or otherwise engage Singapore citizens or Singapore permanent residents unless the required expertise is not available or the skill of any foreign person is necessary for the performance of the Research.","As per our conversation held this pm, you updated that NRFÃ?â??s approval is not required for employment of Research Engineers who are non-Singapore Citizens / Permanent Residents using FujitsuÃ?â??s cash contribution.

Thanks for the clarification.
",203
198,"EOM. 6. Funding of research staff under the grant must comply with prevailing and consistently applied human resource guidelines of the employing Host/Partner Institution(s), regardless of the source of funds. . 7. For manpower-related fund requisitions, update of all staff employed under the project must be provided, including those whose employment has ended. . 26. Grantor delegates the approval authority for manpower changes (i.e. increase/decrease in headcount, change in designation or scheme of projected hires, change in time commitment to the grant) to the Host Institution. Any virement into the EOM vote will require Grantor’s approval. Updates should be provided when the fund requisition form is submitted to the Grantor. General policy;; The general principle is that grants should support EOM costs and related benefits (as per employment contract) as long as it is in line with the consistently applied Host Institution’s HR policies. This will extend to Host Institution policies that govern staff recruitment and related costs (e.g. costs associated with the onboarding of staff, staff insurance, overtime claims, staff relocation, employment benefits, employment levy, employment pass, pre-examination medical check-up and housing allowance.) All Manpower related costs that fall under Other Operating Costs (OOE) should be accurately reflected in the Budget. Fractional charging for staff costs based on time commitment to the project must be practised. . Principal Investigators / Co-Investigators / Programme Managers EOM cost;; Not allowable. Unconsumed leave;; Provision for unconsumed leave is not allowable. Student Assistants / Interns;; Not allowable for students who are recipients of existing awards (or stipends) or students who are not residents of Singapore. Only full-time students enrolled in local institutes of higher learning qualify to be supported as a student assistant/intern.","During the SC meeting in Sept 18, it was agreed that an additional headcount will be hired to support the Centre (page 9 of the minutes attached). Can I get a confirmation that this HC will be funded by NRF (73%) and Delta (27%)?",201
198,"EOM. 6. Funding of research staff under the grant must comply with prevailing and consistently applied human resource guidelines of the employing Host/Partner Institution(s), regardless of the source of funds. . 7. For manpower-related fund requisitions, update of all staff employed under the project must be provided, including those whose employment has ended. . 26. Grantor delegates the approval authority for manpower changes (i.e. increase/decrease in headcount, change in designation or scheme of projected hires, change in time commitment to the grant) to the Host Institution. Any virement into the EOM vote will require Grantor’s approval. Updates should be provided when the fund requisition form is submitted to the Grantor. General policy;; The general principle is that grants should support EOM costs and related benefits (as per employment contract) as long as it is in line with the consistently applied Host Institution’s HR policies. This will extend to Host Institution policies that govern staff recruitment and related costs (e.g. costs associated with the onboarding of staff, staff insurance, overtime claims, staff relocation, employment benefits, employment levy, employment pass, pre-examination medical check-up and housing allowance.) All Manpower related costs that fall under Other Operating Costs (OOE) should be accurately reflected in the Budget. Fractional charging for staff costs based on time commitment to the project must be practised. . Principal Investigators / Co-Investigators / Programme Managers EOM cost;; Not allowable. Unconsumed leave;; Provision for unconsumed leave is not allowable. Student Assistants / Interns;; Not allowable for students who are recipients of existing awards (or stipends) or students who are not residents of Singapore. Only full-time students enrolled in local institutes of higher learning qualify to be supported as a student assistant/intern.","If a research project group , has 2 Research Fellow manpower headcount . 1 is leaving but the new one is coming Ã?Â½ a month earlier than the old that is leaving , is it ok that for that Ã?Â½ a month , the research project is paying for 3 research fellow head count ? 
 
Please advise ?
",204
198,"EOM. 6. Funding of research staff under the grant must comply with prevailing and consistently applied human resource guidelines of the employing Host/Partner Institution(s), regardless of the source of funds. . 7. For manpower-related fund requisitions, update of all staff employed under the project must be provided, including those whose employment has ended. . 26. Grantor delegates the approval authority for manpower changes (i.e. increase/decrease in headcount, change in designation or scheme of projected hires, change in time commitment to the grant) to the Host Institution. Any virement into the EOM vote will require Grantor’s approval. Updates should be provided when the fund requisition form is submitted to the Grantor. General policy;; The general principle is that grants should support EOM costs and related benefits (as per employment contract) as long as it is in line with the consistently applied Host Institution’s HR policies. This will extend to Host Institution policies that govern staff recruitment and related costs (e.g. costs associated with the onboarding of staff, staff insurance, overtime claims, staff relocation, employment benefits, employment levy, employment pass, pre-examination medical check-up and housing allowance.) All Manpower related costs that fall under Other Operating Costs (OOE) should be accurately reflected in the Budget. Fractional charging for staff costs based on time commitment to the project must be practised. . Principal Investigators / Co-Investigators / Programme Managers EOM cost;; Not allowable. Unconsumed leave;; Provision for unconsumed leave is not allowable. Student Assistants / Interns;; Not allowable for students who are recipients of existing awards (or stipends) or students who are not residents of Singapore. Only full-time students enrolled in local institutes of higher learning qualify to be supported as a student assistant/intern.","As per conversation previously , it was mention that NRF leave the title of SRF or RF to NTU as long as no extra budget is needed . Could we proceed with the hiring ?

Thanks 
",205
198,"EOM. 6. Funding of research staff under the grant must comply with prevailing and consistently applied human resource guidelines of the employing Host/Partner Institution(s), regardless of the source of funds. . 7. For manpower-related fund requisitions, update of all staff employed under the project must be provided, including those whose employment has ended. . 26. Grantor delegates the approval authority for manpower changes (i.e. increase/decrease in headcount, change in designation or scheme of projected hires, change in time commitment to the grant) to the Host Institution. Any virement into the EOM vote will require Grantor’s approval. Updates should be provided when the fund requisition form is submitted to the Grantor. General policy;; The general principle is that grants should support EOM costs and related benefits (as per employment contract) as long as it is in line with the consistently applied Host Institution’s HR policies. This will extend to Host Institution policies that govern staff recruitment and related costs (e.g. costs associated with the onboarding of staff, staff insurance, overtime claims, staff relocation, employment benefits, employment levy, employment pass, pre-examination medical check-up and housing allowance.) All Manpower related costs that fall under Other Operating Costs (OOE) should be accurately reflected in the Budget. Fractional charging for staff costs based on time commitment to the project must be practised. . Principal Investigators / Co-Investigators / Programme Managers EOM cost;; Not allowable. Unconsumed leave;; Provision for unconsumed leave is not allowable. Student Assistants / Interns;; Not allowable for students who are recipients of existing awards (or stipends) or students who are not residents of Singapore. Only full-time students enrolled in local institutes of higher learning qualify to be supported as a student assistant/intern.","Reference is made to the following project: 

Project Ref.: NRF2018NRF-NSFC003SB-009
Project Title: Synthetic biology via engineering enzymes and cascade reactions: efficient production of valuable hydroxy fatty acids and lactones from fatty acids 
NUS PI: Associate Professor Li Zhi, Department of Chemical and Biomolecular Engineering, FOE
Duration: 3 years (1 Jan 2019 Ã?â?? 31 Dec 2021)
We have received requests from the PI as follows:


2. To increase the headcount for Research Fellows from 1 to 2. 

Please note that NUS has approved request 2. Please let us know if NRF is agreeable by 21 March 2019. We would convey the outcome after 21 March 2019. 

For request 1, we would like to seek NRFÃ?â??s consideration and approval. 

Thank you very much.
",216
198,"EOM. 6. Funding of research staff under the grant must comply with prevailing and consistently applied human resource guidelines of the employing Host/Partner Institution(s), regardless of the source of funds. . 7. For manpower-related fund requisitions, update of all staff employed under the project must be provided, including those whose employment has ended. . 26. Grantor delegates the approval authority for manpower changes (i.e. increase/decrease in headcount, change in designation or scheme of projected hires, change in time commitment to the grant) to the Host Institution. Any virement into the EOM vote will require Grantor’s approval. Updates should be provided when the fund requisition form is submitted to the Grantor. General policy;; The general principle is that grants should support EOM costs and related benefits (as per employment contract) as long as it is in line with the consistently applied Host Institution’s HR policies. This will extend to Host Institution policies that govern staff recruitment and related costs (e.g. costs associated with the onboarding of staff, staff insurance, overtime claims, staff relocation, employment benefits, employment levy, employment pass, pre-examination medical check-up and housing allowance.) All Manpower related costs that fall under Other Operating Costs (OOE) should be accurately reflected in the Budget. Fractional charging for staff costs based on time commitment to the project must be practised. . Principal Investigators / Co-Investigators / Programme Managers EOM cost;; Not allowable. Unconsumed leave;; Provision for unconsumed leave is not allowable. Student Assistants / Interns;; Not allowable for students who are recipients of existing awards (or stipends) or students who are not residents of Singapore. Only full-time students enrolled in local institutes of higher learning qualify to be supported as a student assistant/intern.",We would like seek NRFÃ?â??s approval to convert a EOM under SMA-RP9 from Delta cash contribution to Delta-in-kind contribution.,221
198,"EOM. 6. Funding of research staff under the grant must comply with prevailing and consistently applied human resource guidelines of the employing Host/Partner Institution(s), regardless of the source of funds. . 7. For manpower-related fund requisitions, update of all staff employed under the project must be provided, including those whose employment has ended. . 26. Grantor delegates the approval authority for manpower changes (i.e. increase/decrease in headcount, change in designation or scheme of projected hires, change in time commitment to the grant) to the Host Institution. Any virement into the EOM vote will require Grantor’s approval. Updates should be provided when the fund requisition form is submitted to the Grantor. General policy;; The general principle is that grants should support EOM costs and related benefits (as per employment contract) as long as it is in line with the consistently applied Host Institution’s HR policies. This will extend to Host Institution policies that govern staff recruitment and related costs (e.g. costs associated with the onboarding of staff, staff insurance, overtime claims, staff relocation, employment benefits, employment levy, employment pass, pre-examination medical check-up and housing allowance.) All Manpower related costs that fall under Other Operating Costs (OOE) should be accurately reflected in the Budget. Fractional charging for staff costs based on time commitment to the project must be practised. . Principal Investigators / Co-Investigators / Programme Managers EOM cost;; Not allowable. Unconsumed leave;; Provision for unconsumed leave is not allowable. Student Assistants / Interns;; Not allowable for students who are recipients of existing awards (or stipends) or students who are not residents of Singapore. Only full-time students enrolled in local institutes of higher learning qualify to be supported as a student assistant/intern.","We would like to convert another EOM under SMA-RP4 from Delta cash contribution to Delta-in-kind contribution.
 
For NRF approval, please.
",222
